season,season_type,week,game_id,play_id,team_id,team_abbr,play_game_key,play_sequence,play_description,play_type_code,play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_home_score,play_visitor_score,play_direction,play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,play_is_change_of_possession
2018,REG,6,2018101402,1539,4400,LAC,57648,1539,"(6:43) P.Rivers pass deep left to Ty.Williams for 45 yards, TOUCHDOWN.",2,play_type_pass,2,1,10,4400,06:43,CLE 45,45,CLE,65,2018-10-14T18:04:08.000Z,false,false,true,false,false,3,13,right,APPROVED,3,7,true,,,
2018,REG,6,2018101404,3499,2700,MIA,57650,3499,"(3:17) (Shotgun) B.Osweiler pass short middle to A.Wilson for 75 yards, TOUCHDOWN.",2,play_type_pass,4,1,10,2700,03:17,MIA 25,25,MIA,85,2018-10-14T19:50:50.000Z,false,false,true,false,false,27,28,left,APPROVED,21,28,true,,,
2018,REG,6,2018101412,2072,2310,KC,57658,2072,"(13:39) (Shotgun) P.Mahomes pass deep right to K.Hunt for 67 yards, TOUCHDOWN.",2,play_type_pass,3,3,2,2310,13:39,KC 33,33,KC,43,2018-10-15T02:00:40.000Z,false,false,true,false,false,24,15,right,APPROVED,24,9,true,,,
2018,REG,6,2018101500,913,4500,SF,57659,913,"(:36) C.Beathard pass deep middle to M.Goodwin for 67 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,4500,00:36,SF 33,33,SF,77,2018-10-16T00:54:21.000Z,false,false,true,false,false,17,13,left,APPROVED,17,7,true,,,
2018,REG,6,2018101500,2189,1800,GB,57659,2189,(13:41) A.Rodgers pass deep right to M.Valdes-Scantling to SF 33 for 30 yards (J.Tartt).,2,play_type_pass,3,1,10,1800,13:41,GB 37,37,GB,73,2018-10-16T02:04:47.000Z,false,false,false,false,false,20,24,left,APPROVED,20,24,true,,,
2018,REG,7,2018101800,483,1400,DEN,57660,483,"(8:45) 4-C.Keenum laterals to 10-E.Sanders. E.Sanders pass deep right to C.Sutton for 28 yards, TOUCHDOWN.",2,play_type_pass,1,1,5,1400,08:45,ARI 28,28,ARI,38,2018-10-19T00:40:58.000Z,false,false,true,false,false,0,13,left,APPROVED,0,7,true,,,
2018,REG,7,2018101800,967,1400,DEN,57660,967,"(2:13) (Shotgun) J.Rosen pass short right intended for J.Nelson INTERCEPTED by C.Harris at DEN 47. C.Harris for 53 yards, TOUCHDOWN.",2,play_type_pass,1,3,1,3800,02:13,ARI 46,46,ARI,56,2018-10-19T01:00:45.000Z,false,false,true,false,false,3,20,right,APPROVED,3,14,true,,,
2018,REG,7,2018101800,1168,1400,DEN,57660,1168,"(14:51) C.Keenum pass deep right to E.Sanders for 64 yards, TOUCHDOWN.",2,play_type_pass,2,1,10,1400,14:51,DEN 36,36,DEN,46,2018-10-19T01:10:32.000Z,false,false,true,false,false,3,27,right,APPROVED,3,21,true,,,
2018,REG,7,2018102100,324,4400,LAC,57661,324,"(9:44) P.Rivers pass deep left to Ty.Williams for 75 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,4400,09:44,LAC 25,25,LAC,85,2018-10-21T13:46:59.000Z,false,false,true,false,false,6,3,left,APPROVED,0,3,true,,,
2018,REG,7,2018102102,922,0810,CHI,57663,922,"(1:12) (Shotgun) M.Trubisky scrambles left end for 8 yards, TOUCHDOWN.",2,play_type_rush,1,3,5,0810,01:12,NE 8,8,NE,18,2018-10-21T17:38:59.000Z,false,false,true,false,false,9,7,left,APPROVED,3,7,true,,,
2018,REG,7,2018102102,1452,3200,NE,57663,1452,"C.Parkey kicks 60 yards from CHI 35 to NE 5. C.Patterson for 95 yards, TOUCHDOWN.",32,play_type_kickoff,2,0,0,0810,11:05,CHI 35,35,CHI,45,2018-10-21T18:04:38.000Z,true,false,true,false,false,17,13,right,APPROVED,17,7,true,,,
2018,REG,7,2018102102,2560,0810,CHI,57663,2560,(13:41) (Shotgun) M.Trubisky scrambles left end to NE 1 for 39 yards (D.Hightower).,2,play_type_rush,3,1,10,0810,13:41,NE 40,40,NE,50,2018-10-21T18:57:30.000Z,false,false,false,false,false,17,21,left,APPROVED,17,21,true,,,
2018,REG,7,2018102102,4750,0810,CHI,57663,4750,"(:02) (Shotgun) M.Trubisky pass deep middle to K.White to NE 1 for 54 yards (D.Harmon). The Replay Official reviewed the short of the goal line ruling, and the play was Upheld. The ruling on the field was confirmed.",2,play_type_pass,4,1,10,0810,00:02,CHI 45,45,CHI,55,2018-10-21T20:20:50.000Z,false,false,false,false,false,31,38,right,APPROVED,31,38,true,,,
2018,REG,7,2018102105,373,2310,KC,57666,373,(8:53) (Shotgun) K.Hunt right tackle to CIN 6 for 21 yards (C.Lawson; S.Williams).,2,play_type_rush,1,2,10,2310,08:53,CIN 27,27,CIN,37,2018-10-22T00:35:12.000Z,false,false,false,false,false,0,0,left,APPROVED,0,0,true,,,
2018,REG,7,2018102106,782,1540,DET,57667,782,(15:00) (Shotgun) K.Johnson right guard pushed ob at MIA 20 for 71 yards (R.Jones).,2,play_type_rush,2,2,5,1540,15:00,DET 9,9,DET,19,2018-10-21T17:36:38.000Z,false,false,false,false,false,0,7,right,APPROVED,0,7,true,,,
