season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_season_avg,leader_team_avg,leader_time,play_is_goal_to_go,leader_suffix,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_short_name
2016,PRE,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PRE,fastest_ball_carriers,1,2016081256,56848,3135,3135,"(1:07) G.Atkinson right end for 53 yards, TOUCHDOWN.",2,play_type_rush,3,1,10,2520,01:07,OAK 47,47,OAK,57,2016-08-13T04:20:27.000Z,false,false,true,false,false,10,23,right,APPROVED,10,17,true,true,true,George Atkinson,George,Atkinson,00-0031158,ATK679343,2520,OAK,34,RB,RB,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/udjcw8aaomkitgbqjacq,22.50000005,81.56000000000004,53,,,,,,,,
2016,PRE,fastest_ball_carriers,2,2016081256,56848,478,478,C.Catanzaro kicks 73 yards from ARZ 35 to OAK -8. J.Holton pushed ob at OAK 35 for 43 yards (C.Catanzaro).,32,play_type_kickoff,1,0,0,3800,07:13,ARI 35,35,ARI,75,2016-08-13T02:24:41.000Z,true,false,false,false,true,3,0,left,APPROVED,3,0,false,true,true,Johnny Holton,Johnny,Holton,00-0032935,HOL773557,2520,OAK,16,WR,WR,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/has0upkyuzqewhty3pb2,22.009090958,64.23,43,,,,,,,,
2016,PRE,fastest_ball_carriers,3,2016082757,56878,3670,3670,(7:49) R.Hillman left end pushed ob at LA 45 for 21 yards (J.Lomax).,2,play_type_rush,4,1,10,1400,07:49,DEN 34,34,DEN,44,2016-08-28T03:43:18.000Z,false,false,false,false,false,17,9,right,APPROVED,17,9,true,true,true,Ronnie Hillman,Ronnie,Hillman,00-0029683,HIL737842,1400,DEN,23,RB,RB,3,https://static.www.nfl.com/image/private/{formatInstructions}/league/quqwvjr2zciit0emquzg,21.804545503,40.24000000000001,21,,,,,,,,
2016,PRE,fastest_ball_carriers,4,2016090163,56899,2831,2831,"(4:05) (Shotgun) B.Weeden pass short right intended for C.Shorts INTERCEPTED by A.Brown at DAL 41. A.Brown for 59 yards, TOUCHDOWN.",2,play_type_pass,3,4,3,2120,04:05,DAL 43,43,DAL,53,2016-09-02T02:11:17.000Z,false,false,true,false,true,16,21,left,APPROVED,10,21,true,,true,Anthony Brown,,,00-0033047,BRO266417,1200,DAL,30,DB,DB,4,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b0di12hyti7dtrbs9stm,21.743181866500002,75.79,,,,,,,,,
2016,PRE,fastest_ball_carriers,5,2016081153,56838,58,58,(15:00) T.Ginn left end pushed ob at CAR 42 for 17 yards (J.Smith).,2,play_type_rush,1,1,10,0750,15:00,CAR 25,25,CAR,85,2016-08-11T23:38:32.000Z,false,false,false,false,false,0,0,left,APPROVED,0,0,false,true,true,Ted Ginn,Ted,Ginn,00-0025396,GIN403290,0750,CAR,19,WR,WR,1,https://static.www.nfl.com/image/private/{formatInstructions}/league/o4m4txrv9l7odyebnea4,21.7022727755,48.82999999999999,17,,,,,,,,
